prefecture,fuzoku_area,normalized,suggested_slug,suggested_name,confidence
aichi,"名古屋","名古屋",nagoya,"名古屋",HIGH
aichi,"新栄・東新町","新栄・東新町",nagoya,"(その他)",OVERRIDE
aichi,"大曽根","大曽根",nagoya,"(その他)",OVERRIDE
aichi,"柴田","柴田",nagoya,"(その他)",OVERRIDE
aichi,"金山","金山",nagoya,"(その他)",OVERRIDE
aichi,"名古屋内その他","名古屋内その他",nagoya,"(その他)",OVERRIDE
aichi,"一宮","一宮",ichinomiya,"一宮・稲沢",HIGH
aichi,"春日井","春日井",aichi-other,"(その他)",OVERRIDE
aichi,"愛知その他","愛知その他",aichi-other,"(その他)",OVERRIDE
aichi,"名駅/納屋橋","名駅/納屋橋",nagoya,"(その他)",OVERRIDE
aichi,"栄 風俗","栄",nagoya,"(その他)",OVERRIDE
aichi,"錦 風俗","錦",nagoya,"(その他)",OVERRIDE
aichi,"丸の内 風俗","丸の内",nagoya,"(その他)",OVERRIDE
aichi,"名駅 風俗","名駅",nagoya,"(その他)",OVERRIDE
aichi,"納屋橋 風俗","納屋橋",nagoya,"(その他)",OVERRIDE
aichi,"今池 風俗","今池",nagoya,"(その他)",OVERRIDE
aichi,"池下 風俗","池下",nagoya,"(その他)",OVERRIDE
aichi,"小牧 風俗","小牧",aichi-other,"(その他)",OVERRIDE
aichi,"犬山 風俗","犬山",aichi-other,"(その他)",OVERRIDE
aichi,"豊田 風俗","豊田",toyota,"豊田・岡崎・刈谷",HIGH
aichi,"刈谷 風俗","刈谷",toyota,"豊田・岡崎・刈谷",HIGH
aichi,"大府 風俗","大府",toyota,"(その他)",OVERRIDE
aichi,"安城 風俗","安城",toyota,"(その他)",OVERRIDE
aichi,"知立 風俗","知立",toyota,"(その他)",OVERRIDE
aichi,"半田 風俗","半田",aichi-other,"(その他)",OVERRIDE
aichi,"知多 風俗","知多",aichi-other,"(その他)",OVERRIDE
aichi,"常滑 風俗","常滑",aichi-other,"(その他)",OVERRIDE
aichi,"岡崎 風俗","岡崎",toyota,"豊田・岡崎・刈谷",HIGH
aichi,"蒲郡 風俗","蒲郡",toyohashi,"(その他)",OVERRIDE
aichi,"豊橋 風俗","豊橋",toyohashi,"豊橋・豊川",HIGH
aichi,"豊川 風俗","豊川",toyohashi,"豊橋・豊川",HIGH
aichi,"栄/錦/丸の内 風俗","栄/錦/丸の内",nagoya,"(その他)",OVERRIDE
aichi,"今池/池下 風俗","今池/池下",nagoya,"(その他)",OVERRIDE
aichi,"豊橋/豊川 風俗","豊橋/豊川",toyohashi,"豊橋・豊川",MED
aichi,"岡崎/蒲郡 風俗","岡崎/蒲郡",toyota,"豊田・岡崎・刈谷",MED
akita,"秋田","秋田",akita-city,"秋田市・能代・男鹿",HIGH
akita,"大仙・大曲","大仙・大曲",akita-city,"(その他)",OVERRIDE
akita,"横手","横手",akita-other,"(その他)",OVERRIDE
akita,"秋田その他","秋田その他",akita-other,"(その他)",OVERRIDE
aomori,"青森","青森",aomori-city,"青森・弘前",HIGH
aomori,"八戸","八戸",hachinohe,"八戸・三沢",HIGH
aomori,"むつ","むつ",aomori-other,"(その他)",OVERRIDE
aomori,"弘前","弘前",aomori-city,"青森・弘前",HIGH
aomori,"三沢","三沢",hachinohe,"八戸・三沢",HIGH
aomori,"十和田","十和田",hachinohe,"(その他)",OVERRIDE
aomori,"黒石","黒石",aomori-city,"(その他)",OVERRIDE
aomori,"青森その他","青森その他",aomori-other,"(その他)",OVERRIDE
chiba,"千葉・栄町","千葉・栄町",chiba-city,"千葉・栄町",MED
chiba,"柏","柏",kashiwa,"柏・松戸",HIGH
chiba,"成田","成田",narita,"成田・印西",HIGH
chiba,"市原","市原",kisarazu,"木更津・市原",HIGH
chiba,"津田沼","津田沼",funabashi,"船橋・西船橋・津田沼",HIGH
chiba,"浦安","浦安",ichikawa,"市川・浦安",HIGH
chiba,"幕張","幕張",chiba-city,"(その他)",OVERRIDE
chiba,"本八幡","本八幡",ichikawa,"(その他)",OVERRIDE
chiba,"市川","市川",ichikawa,"市川・浦安",HIGH
chiba,"行徳","行徳",ichikawa,"(その他)",OVERRIDE
